Anbieter,Postleitzahl,Jahresverbrauch,Abschlagszahlung,Grundpreis,Arbeitspreis,Wechselbonus,Sofortbonus,Preisgarantie,Vertragslaufzeit,Verlängerung,Kündigungsfrist,Preis im 1. Jahr,Jährliche Gutschrift,Arbeitspreisrabatt,Neukundenbonus,Abschlagsrabatt,Laufzeitbonus im 1. Jahr,Vorauszahlung: jährlich,Online-Abschluss,Zzgl. Treuebonus,Aktionsrabatt,CHECK24 Sofortbonus,Online-Rabatt
E.ON Energie Deutschland GmbH,10969,7.000 kWh,monatlich,"9,11 €/Monat (109,27 €/Jahr)","27,06 Cent/kWh",NA,NA,Preisfixierung bis 31.01.2022,bis 31.08.2021,12 Monate,6 Wochen zum Monatsende,"1.810,47 €/Jahr",NA,NA,193 € einmalig,NA,NA,NA,NA,NA,NA,NA,NA
eprimo GmbH,10969,7.000 kWh,monatlich,"19,83 €/Monat (238,01 €/Jahr)","26,68 Cent/kWh",NA,153 € einmalig,24 Monate Preisfixierung,24 Monate,12 Monate,3 Monate zum Vertragsende,"1.812,97 €/Jahr",NA,"2,00 Ct./kWh",NA,NA,NA,NA,NA,NA,NA,NA,NA
E.ON Energie Deutschland GmbH,10969,7.000 kWh,monatlich,"9,11 €/Monat (109,27 €/Jahr)","27,45 Cent/kWh",NA,NA,Preisfixierung bis 31.01.2022,bis 31.08.2021,12 Monate,6 Wochen zum Monatsende,"1.814,77 €/Jahr",NA,NA,216 € einmalig,NA,NA,NA,NA,NA,NA,NA,NA
Vattenfall Europe Sales GmbH,10969,7.000 kWh,monatlich,"10,30 €/Monat (123,60 €/Jahr)","27,54 Cent/kWh",206 € einmalig,30 € einmalig,12 Monate Preisfixierung,12 Monate,12 Monate,6 Wochen zum Vertragsende,"1.815,40 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yello Strom GmbH,10969,7.000 kWh,monatlich,"10,37 €/Monat (124,44 €/Jahr)","29,63 Cent/kWh",NA,250 € einmalig,12 Monate Preisfixierung,12 Monate,12 Monate,6 Wochen zum Vertragsende,"1.816,63 €/Jahr",NA,NA,NA,6 % auf Rechnungsbetrag (131 € ),NA,NA,NA,NA,NA,NA,NA
eprimo GmbH,10969,7.000 kWh,monatlich,"20,33 €/Monat (244,01 €/Jahr)","26,68 Cent/kWh",NA,155 € einmalig,15 Monate Preisfixierung,12 Monate,12 Monate,6 Wochen zum Vertragsende,"1.816,96 €/Jahr",NA,"2,00 Ct./kWh",NA,NA,NA,NA,NA,NA,NA,NA,NA
Priostrom - Eine Marke der ExtraEnergie GmbH,10969,7.000 kWh,monatlich,"18,66 €/Monat (223,92 €/Jahr)","26,68 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,6 Wochen zum Monatsende,"1.819,62 €/Jahr",NA,NA,13 % auf Rechnungsbetrag (271 € ),NA,NA,NA,NA,NA,NA,NA,NA
Süwag Vertrieb AG & Co. KG,10969,7.000 kWh,monatlich,"17,46 €/Monat (209,52 €/Jahr)","28,06 Cent/kWh",NA,182 € einmalig,Preisfixierung bis 31.12.2021,24 Monate,12 Monate,1 Monat zum Vertragsende,"1.821,72 €/Jahr",100 €/Jahr,"1,00 Ct./kWh",NA,NA,NA,NA,NA,NA,NA,NA,NA
Süwag Vertrieb AG & Co. KG,10969,7.000 kWh,monatlich,"0,00 €/Monat (0,00 €/Jahr)","29,37 Cent/kWh",NA,10 € einmalig,Preisfixierung bis 31.12.2021,24 Monate,12 Monate,1 Monat zum Vertragsende,"1.821,90 €/Jahr",NA,"1,00 Ct./kWh",154 € einmalig,NA,NA,NA,NA,NA,NA,NA,NA
TURBINE - Eine Marke der Städtische Werke Magdeburg GmbH & Co. KG,10969,7.000 kWh,monatlich,"7,50 €/Monat (90,00 €/Jahr)","24,75 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,1 Monat zum Monatsende,"1.822,64 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kaiser Energie - Eine Marke der 24/7 Energie & Kommunikation GmbH,10969,7.000 kWh,monatlich,"6,34 €/Monat (76,12 €/Jahr)","24,97 Cent/kWh",NA,NA,12 Monate Energiepreisgarantie,6 Monate,6 Monate,2 Wochen zum Vertragsende,"1.824,02 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LIDL-Strom - Eine Marke der E.ON Energie Deutschland GmbH,10969,7.000 kWh,monatlich,"11,91 €/Monat (142,86 €/Jahr)","26,41 Cent/kWh",NA,NA,Preisfixierung bis 31.12.2021,12 Monate,12 Monate,4 Wochen zum Monatsende,"1.826,29 €/Jahr",NA,NA,165 € einmalig,NA,NA,NA,NA,NA,NA,NA,NA
eprimo GmbH,10969,7.000 kWh,monatlich,"19,83 €/Monat (238,01 €/Jahr)","26,68 Cent/kWh",NA,NA,18 Monate Preisfixierung,1 Monat,1 Monat,1 Monat zum Monatsende,"1.827,97 €/Jahr",NA,"2,00 Ct./kWh",138 € einmalig,NA,NA,NA,NA,NA,NA,NA,NA
Sömmerdaer Energieversorgung GmbH,10969,7.000 kWh,monatlich,"6,94 €/Monat (83,28 €/Jahr)","24,93 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,3 Monate,"1.828,42 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alpiq Energie Deutschland GmbH,10969,7.000 kWh,monatlich,"23,30 €/Monat (279,64 €/Jahr)","27,13 Cent/kWh",NA,NA,24 Monate Preisfixierung,24 Monate,12 Monate,4 Wochen zum Vertragsende,"1.829,88 €/Jahr",NA,NA,245 € einmalig,104 € einmalig,NA,NA,NA,NA,NA,NA,NA
Yello Strom GmbH,10969,7.000 kWh,monatlich,"11,62 €/Monat (139,44 €/Jahr)","29,63 Cent/kWh",NA,250 € einmalig,24 Monate Preisfixierung,12 Monate,12 Monate,6 Wochen zum Vertragsende,"1.830,73 €/Jahr",NA,NA,NA,6 % auf Rechnungsbetrag (132 € ),NA,NA,NA,NA,NA,NA,NA
E.ON Energie Deutschland GmbH,10969,7.000 kWh,monatlich,"9,11 €/Monat (109,27 €/Jahr)","27,06 Cent/kWh",NA,NA,Preisfixierung bis 31.01.2021,12 Monate,12 Monate,6 Wochen zum Monatsende,"1.831,47 €/Jahr",NA,NA,172 € einmalig,NA,NA,NA,NA,NA,NA,NA,NA
MAINGAU Energie GmbH,10969,7.000 kWh,monatlich,"0,00 €/Monat (0,00 €/Jahr)","30,71 Cent/kWh",NA,20 € einmalig,12 Monate Preisfixierung,12 Monate,12 Monate,1 Monat zum Vertragsende,"1.831,70 €/Jahr",NA,NA,298 € einmalig,NA,NA,NA,NA,NA,NA,NA,NA
Süwag Vertrieb AG & Co. KG,10969,7.000 kWh,monatlich,"17,46 €/Monat (209,52 €/Jahr)","28,06 Cent/kWh",NA,172 € einmalig,Preisfixierung bis 31.12.2020,12 Monate,12 Monate,1 Monat zum Vertragsende,"1.831,72 €/Jahr",100 €/Jahr,"1,00 Ct./kWh",NA,NA,NA,NA,NA,NA,NA,NA,NA
Süwag Vertrieb AG & Co. KG,10969,7.000 kWh,monatlich,"0,00 €/Monat (0,00 €/Jahr)","29,37 Cent/kWh",NA,NA,Preisfixierung bis 31.12.2020,12 Monate,12 Monate,1 Monat zum Vertragsende,"1.831,90 €/Jahr",NA,"1,00 Ct./kWh",154 € einmalig,NA,NA,NA,NA,NA,NA,NA,NA
E.ON Energie Deutschland GmbH,10969,7.000 kWh,monatlich,"9,11 €/Monat (109,27 €/Jahr)","27,45 Cent/kWh",NA,20 € einmalig,Preisfixierung bis 31.01.2021,12 Monate,12 Monate,6 Wochen zum Monatsende,"1.833,77 €/Jahr",NA,NA,177 € einmalig,NA,NA,NA,NA,NA,NA,NA,NA
Knauber Erdgas GmbH,10969,7.000 kWh,monatlich,"7,00 €/Monat (84,00 €/Jahr)","25,00 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,4 Wochen zum Vertragsende,"1.834,00 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alpiq Energie Deutschland GmbH,10969,7.000 kWh,monatlich,"17,83 €/Monat (213,95 €/Jahr)","27,13 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,4 Wochen zum Vertragsende,"1.835,28 €/Jahr",NA,NA,235 € einmalig,43 € einmalig,NA,NA,NA,NA,NA,NA,NA
EnBW Energie Baden-Württemberg AG,10969,7.000 kWh,monatlich,"11,72 €/Monat (140,66 €/Jahr)","28,19 Cent/kWh",NA,275 € einmalig,Preisfixierung bis 31.12.2020,12 Monate,12 Monate,6 Wochen zum Vertragsende,"1.839,26 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elißa - Eine Marke der 24/7 Energie & Kommunikation GmbH,10969,7.000 kWh,monatlich,"5,75 €/Monat (68,98 €/Jahr)","25,35 Cent/kWh",NA,NA,12 Monate Energiepreisgarantie,1 Monat,1 Monat,2 Wochen zum Ende des Kalendermonats,"1.843,48 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123energie - Eine Marke der PFALZWERKE AKTIENGESELLSCHAFT,10969,7.000 kWh,monatlich,"16,08 €/Monat (192,95 €/Jahr)","26,56 Cent/kWh",NA,NA,12 Monate Nettopreisgarantie,12 Monate,12 Monate,6 Wochen zum Vertragsende,"1.844,20 €/Jahr",NA,NA,NA,208 € einmalig,NA,NA,NA,NA,NA,NA,NA
R(H)EINPOWER - Eine Marke der Stadtwerke Duisburg AG,10969,7.000 kWh,monatlich,"10,70 €/Monat (128,44 €/Jahr)","27,37 Cent/kWh",NA,120 € einmalig,24 Monate Preisfixierung,24 Monate,12 Monate,1 Monat zum Monatsende,"1.844,34 €/Jahr",NA,NA,80 € einmalig,NA,NA,NA,NA,NA,NA,NA,NA
Sömmerdaer Energieversorgung GmbH,10969,7.000 kWh,monatlich,"6,94 €/Monat (83,28 €/Jahr)","25,17 Cent/kWh",NA,NA,24 Monate Preisfixierung,24 Monate,12 Monate,3 Monate,"1.845,16 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sömmerdaer Energieversorgung GmbH,10969,7.000 kWh,monatlich,"6,94 €/Monat (83,28 €/Jahr)","25,17 Cent/kWh",NA,NA,24 Monate Preisfixierung,24 Monate,12 Monate,3 Monate,"1.845,16 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
innogy Direkt GmbH,10969,7.000 kWh,monatlich,"7,44 €/Monat (89,26 €/Jahr)","28,63 Cent/kWh",NA,NA,12 Monate Nettopreisgarantie,12 Monate,1 Monat,2 Wochen zum Vertragsende,"1.845,36 €/Jahr",NA,NA,248 € einmalig,NA,NA,NA,NA,NA,NA,NA,NA
R(H)EINPOWER - Eine Marke der Stadtwerke Duisburg AG,10969,7.000 kWh,monatlich,"10,70 €/Monat (128,44 €/Jahr)","27,39 Cent/kWh",NA,120 € einmalig,12 Monate Preisfixierung,12 Monate,12 Monate,1 Monat zum Monatsende,"1.846,00 €/Jahr",NA,NA,80 € einmalig,NA,NA,NA,NA,NA,NA,NA,NA
Volkswagen Group Charging GmbH,10969,7.000 kWh,monatlich,"8,35 €/Monat (100,21 €/Jahr)","29,23 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,1 Monat zum Vertragsende,"1.846,37 €/Jahr",NA,NA,300 € einmalig,NA,NA,NA,NA,NA,NA,NA,NA
StWB Stadtwerke Brandenburg an der Havel GmbH & Co. KG,10969,7.000 kWh,monatlich,"7,24 €/Monat (86,87 €/Jahr)","25,85 Cent/kWh",NA,NA,Nettopreisgarantie bis 31.12.2020,12 Monate,12 Monate,1 Monat zum Vertragsende,"1.846,37 €/Jahr",NA,NA,50 € einmalig,NA,NA,NA,NA,NA,NA,NA,NA
Emil Energie GmbH,10969,7.000 kWh,monatlich,"9,00 €/Monat (108,00 €/Jahr)","24,85 Cent/kWh",NA,NA,Preisfixierung bis 31.12.2020,12 Monate,12 Monate,1 Monat zum Vertragsende,"1.847,81 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sömmerdaer Energieversorgung GmbH,10969,7.000 kWh,monatlich,"7,44 €/Monat (89,28 €/Jahr)","25,17 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,3 Monate,"1.851,16 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAINGAU Energie GmbH,10969,7.000 kWh,monatlich,"3,00 €/Monat (36,00 €/Jahr)","25,94 Cent/kWh",NA,NA,12 Monate Preisfixierung,2 Wochen,2 Wochen,2 Wochen zum Vertragsende,"1.851,80 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elißa - Eine Marke der 24/7 Energie & Kommunikation GmbH,10969,7.000 kWh,monatlich,"7,53 €/Monat (90,40 €/Jahr)","25,19 Cent/kWh",NA,NA,12 Monate Energiepreisgarantie,1 Monat,1 Monat,2 Wochen zum Ende des Kalendermonats,"1.853,70 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GASAG AG,10969,7.000 kWh,monatlich,"6,70 €/Monat (80,40 €/Jahr)","28,05 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,1 Monat zum Vertragsende,"1.858,90 €/Jahr",NA,NA,185 € einmalig,NA,NA,NA,NA,NA,NA,NA,NA
ENTEGA Plus GmbH,10969,7.000 kWh,monatlich,"14,00 €/Monat (168,00 €/Jahr)","26,81 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,2 Wochen zum Vertragsende,"1.859,70 €/Jahr",NA,NA,185 € einmalig,NA,NA,NA,NA,NA,NA,NA,NA
4hundred GmbH,10969,7.000 kWh,monatlich,"11,96 €/Monat (143,57 €/Jahr)","25,25 Cent/kWh",NA,NA,12 Monate Preisgarantie,1 Monat,1 Monat,1 Monat zum Monatsende,"1.861,14 €/Jahr",NA,NA,50 € einmalig,NA,NA,NA,NA,NA,NA,NA,NA
Lechwerke AG,10969,7.000 kWh,monatlich,"22,00 €/Monat (264,00 €/Jahr)","25,94 Cent/kWh",NA,10 € einmalig,Preisfixierung bis 31.12.2020,12 Monate,12 Monate,1 Monat zum Vertragsende,"1.861,80 €/Jahr",NA,NA,208 € einmalig,NA,NA,NA,NA,NA,NA,NA,NA
STROGON GmbH,10969,7.000 kWh,monatlich,"10,54 €/Monat (126,49 €/Jahr)","30,14 Cent/kWh",NA,30 € einmalig,12 Monate Preisgarantie,12 Monate,12 Monate,6 Wochen zum Vertragsende,"1.870,75 €/Jahr",NA,NA,15 % auf Rechnungsbetrag (335 € ),NA,NA,NA,NA,NA,NA,NA,NA
Sömmerdaer Energieversorgung GmbH,10969,7.000 kWh,monatlich,"7,44 €/Monat (89,28 €/Jahr)","25,47 Cent/kWh",NA,NA,24 Monate Preisfixierung,24 Monate,12 Monate,3 Monate,"1.872,15 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EVH GmbH,10969,7.000 kWh,monatlich,"7,41 €/Monat (88,92 €/Jahr)","25,48 Cent/kWh",NA,NA,keine,1 Monat,1 Monat,6 Wochen zum Monatsende,"1.872,52 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rheinhessische Energie- und Wasserversorgungs-Gesellschaft mit beschränkter Haftung,10969,7.000 kWh,monatlich,"6,94 €/Monat (83,31 €/Jahr)","27,99 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,1 Monat zum Vertragsende,"1.872,61 €/Jahr",NA,NA,170 € einmalig,NA,NA,NA,NA,NA,NA,NA,NA
eprimo GmbH,10969,7.000 kWh,monatlich,"2,00 €/Monat (24,00 €/Jahr)","26,42 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,6 Wochen zum Vertragsende,"1.873,40 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stadtwerke Iserlohn GmbH,10969,7.000 kWh,monatlich,"3,96 €/Monat (47,56 €/Jahr)","26,08 Cent/kWh",NA,NA,keine,24 Monate,12 Monate,6 Wochen zum Ende der Lieferzeit,"1.873,50 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWM Versorgungs GmbH,10969,7.000 kWh,monatlich,"10,89 €/Monat (130,65 €/Jahr)","28,23 Cent/kWh",NA,30 € einmalig,12 Monate Nettopreisgarantie,12 Monate,12 Monate,1 Monat zum Vertragsende,"1.876,53 €/Jahr",NA,NA,200 € einmalig,NA,NA,NA,NA,NA,NA,NA,NA
Stadtwerke Pritzwalk GmbH,10969,7.000 kWh,monatlich,"7,14 €/Monat (85,68 €/Jahr)","25,59 Cent/kWh",NA,NA,keine,Jahresende,12 Monate,3 Monate vor Ablauf der Laufzeit,"1.876,63 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123energie - Eine Marke der PFALZWERKE AKTIENGESELLSCHAFT,10969,7.000 kWh,monatlich,"17,07 €/Monat (204,85 €/Jahr)","26,86 Cent/kWh",NA,NA,12 Monate Nettopreisgarantie,12 Monate,12 Monate,6 Wochen zum Vertragsende,"1.876,93 €/Jahr",NA,NA,NA,208 € einmalig,NA,NA,NA,NA,NA,NA,NA
Stadtwerke Frankfurt (Oder) GmbH,10969,7.000 kWh,monatlich,"6,70 €/Monat (80,40 €/Jahr)","25,70 Cent/kWh",NA,NA,keine,Jahresende,12 Monate,6 Wochen zum Ende der Lieferzeit,"1.879,68 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAINGAU Energie GmbH,10969,7.000 kWh,monatlich,"0,00 €/Monat (0,00 €/Jahr)","26,86 Cent/kWh",NA,NA,12 Monate Preisfixierung,2 Wochen,2 Wochen,2 Wochen zum Vertragsende,"1.880,20 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stadtwerke Forst GmbH,10969,7.000 kWh,monatlich,"7,93 €/Monat (95,16 €/Jahr)","25,53 Cent/kWh",NA,NA,12 Monate Nettopreisgarantie,12 Monate,12 Monate,1 Monat vor Ende der Laufzeit,"1.882,03 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Knauber Erdgas GmbH,10969,7.000 kWh,monatlich,"7,00 €/Monat (84,00 €/Jahr)","25,70 Cent/kWh",NA,NA,24 Monate Preisfixierung,24 Monate,12 Monate,4 Wochen zum Vertragsende,"1.883,00 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stadtwerke Güstrow GmbH,10969,7.000 kWh,monatlich,"5,95 €/Monat (71,40 €/Jahr)","25,89 Cent/kWh",NA,NA,12 Monate Preisfixierung,1 Monat,1 Monat,1 Monat zum Monatsende,"1.883,70 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stadtwerke Düsseldorf AG,10969,7.000 kWh,monatlich,"8,03 €/Monat (96,40 €/Jahr)","27,91 Cent/kWh",NA,NA,Preisfixierung bis 31.12.2020,12 Monate,12 Monate,6 Wochen zum Vertragsende,"1.883,79 €/Jahr",NA,NA,166 € einmalig,NA,NA,NA,NA,NA,NA,NA,NA
Kaiser Energie - Eine Marke der 24/7 Energie & Kommunikation GmbH,10969,7.000 kWh,monatlich,"0,00 €/Monat (0,00 €/Jahr)","26,92 Cent/kWh",NA,NA,12 Monate Energiepreisgarantie,12 Monate,12 Monate,2 Wochen zum Vertragsende,"1.884,40 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123energie - Eine Marke der PFALZWERKE AKTIENGESELLSCHAFT,10969,7.000 kWh,monatlich,"17,07 €/Monat (204,85 €/Jahr)","26,98 Cent/kWh",NA,NA,24 Monate Nettopreisgarantie,12 Monate,12 Monate,6 Wochen zum Vertragsende,"1.885,26 €/Jahr",NA,NA,NA,208 € einmalig,NA,NA,NA,NA,NA,NA,NA
KlickEnergie GmbH & Co. KG,10969,7.000 kWh,monatlich,"6,85 €/Monat (82,22 €/Jahr)","26,37 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,4 Wochen zum Monatsende,"1.886,33 €/Jahr",NA,NA,42 € einmalig,NA,NA,NA,NA,NA,NA,NA,NA
Vereinigte Wertach-Elektrizitätswerke GmbH,10969,7.000 kWh,monatlich,"9,80 €/Monat (117,60 €/Jahr)","25,28 Cent/kWh",NA,NA,keine,bis 31.12.2019,12 Monate,6 Wochen zum Jahresende,"1.887,20 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWM Versorgungs GmbH,10969,7.000 kWh,monatlich,"10,89 €/Monat (130,65 €/Jahr)","27,99 Cent/kWh",NA,NA,12 Monate Nettopreisgarantie,12 Monate,12 Monate,1 Monat zum Vertragsende,"1.889,87 €/Jahr",NA,NA,200 € einmalig,NA,NA,NA,NA,NA,NA,NA,NA
Grünwelt Energie - Eine Marke der Stromio GmbH,10969,7.000 kWh,monatlich,"4,79 €/Monat (57,47 €/Jahr)","26,19 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,6 Wochen zum Vertragsende,"1.890,77 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grünwelt Energie - Eine Marke der Stromio GmbH,10969,7.000 kWh,monatlich,"4,83 €/Monat (57,97 €/Jahr)","26,19 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,6 Wochen zum Vertragsende,"1.891,27 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grünwelt Energie - Eine Marke der Stromio GmbH,10969,7.000 kWh,monatlich,"4,84 €/Monat (58,09 €/Jahr)","26,19 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,1 Monat,4 Wochen zum Monatsende,"1.891,39 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
